date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:03	491653/491653	---M--	200	added ('OK')	image/jpeg	etag:%22572cabef-78085%22	http://shop.azelab.com/images/home-2/product-tabs/6-pd.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/product-tabs/6-pd.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:28:15	481537/481537	---M--	200	added ('OK')	image/jpeg	etag:%22572cabf1-75901%22	http://shop.azelab.com/images/home-2/product-tabs/7-pd.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/product-tabs/7-pd.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:29:19	466755/466755	---M--	200	added ('OK')	image/jpeg	etag:%22572cabdb-71f43%22	http://shop.azelab.com/images/home-2/featured/pd1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd1.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:29:20	470588/470588	---M--	200	added ('OK')	image/jpeg	etag:%22572cabdd-72e3c%22	http://shop.azelab.com/images/home-2/featured/pd2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd2.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:29:25	533133/533133	---M--	200	added ('OK')	image/jpeg	etag:%22572cabf3-8228d%22	http://shop.azelab.com/images/home-2/product-tabs/8-pd.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/product-tabs/8-pd.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:29:29	461963/461963	---M--	200	added ('OK')	image/jpeg	etag:%22572cabdc-70c8b%22	http://shop.azelab.com/images/home-2/featured/pd3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd3.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:30:32	451374/451374	---M--	200	added ('OK')	image/jpeg	etag:%22572cabde-6e32e%22	http://shop.azelab.com/images/home-2/featured/pd4.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd4.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:30:35	469444/469444	---M--	200	added ('OK')	image/jpeg	etag:%22572cabdf-729c4%22	http://shop.azelab.com/images/home-2/featured/pd5.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd5.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:30:36	1420/1420	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258c-571ce8512b212%22	http://shop.azelab.com/images/home-2/featured/pd9.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd9.a3.delayed	(from http://shop.azelab.com/home-2-furniture.html)
11:30:37	1420/1420	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258c-571ce8512b212%22	http://shop.azelab.com/images/home-2/featured/pd10.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd10.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:30:41	472219/472219	---M--	200	added ('OK')	image/jpeg	etag:%22572cabe0-7349b%22	http://shop.azelab.com/images/home-2/featured/pd6.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd6.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:30:42	453246/453246	---M--	200	added ('OK')	image/jpeg	etag:%22572cabe6-6ea7e%22	http://shop.azelab.com/images/home-2/featured/pd7.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd7.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:30:49	75763/75763	---M--	200	added ('OK')	image/png	etag:%22572caba5-127f3%22	http://shop.azelab.com/images/home_store/book-1.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-1.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:30:51	58282/58282	---M--	200	added ('OK')	image/png	etag:%22572caba6-e3aa%22	http://shop.azelab.com/images/home_store/book-2.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-2.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:30:54	28338/28338	---M--	200	added ('OK')	image/png	etag:%22572caba7-6eb2%22	http://shop.azelab.com/images/home_store/book-4.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-4.png	(from http://shop.azelab.com/home-3-bookstore.html)
